日付,始値,高値,安値,終値,出来高,売買代金
2017-06-23,1431.00,1520.00,1431.00,1501.00,890400,1324934200
2017-06-22,1400.00,1441.00,1395.00,1423.00,286100,406171400
2017-06-21,1455.00,1455.00,1380.00,1405.00,633900,897165300
2017-06-20,1477.00,1487.00,1417.00,1449.00,581200,841075400
2017-06-19,1451.00,1499.00,1440.00,1466.00,908300,1334413800
2017-06-16,1395.00,1430.00,1321.00,1355.00,969800,1336527200
2017-06-15,1482.00,1593.00,1265.00,1468.00,2205700,3270852400
2017-06-14,1401.00,1500.00,1401.00,1460.00,1329000,1930247200
2017-06-13,1300.00,1380.00,1300.00,1378.00,679100,917875500
2017-06-12,1370.00,1373.00,1250.00,1345.00,954000,1272124200
2017-06-09,1250.00,1313.00,1250.00,1313.00,871100,1115449900
2017-06-08,1200.00,1245.00,1190.00,1221.00,983100,1205066200
2017-06-07,1155.00,1198.00,1155.00,1195.00,663800,784682100
2017-06-06,1129.00,1147.00,1111.00,1144.00,433600,490309100
2017-06-05,1110.00,1129.00,1102.00,1120.00,490100,548190900
2017-06-02,1100.00,1112.00,1068.00,1082.00,604700,661062200
2017-06-01,1027.00,1065.00,1018.00,1064.00,477800,499477500
2017-05-31,995.00,1050.00,990.00,1015.00,441900,448065300
2017-05-30,1029.00,1029.00,997.00,997.00,405900,407848200
2017-05-29,1003.00,1050.00,992.00,1020.00,580400,589267100
2017-05-26,1050.00,1057.00,1001.00,1022.00,1018300,1041050600
2017-05-25,1202.00,1230.00,1048.00,1095.00,1744500,1975728900
2017-05-24,1070.00,1179.00,1069.00,1155.00,1638600,1856784200
2017-05-23,999.00,1049.00,998.00,1048.00,1076500,1104308800
2017-05-22,966.00,992.00,966.00,991.00,390800,383678300
2017-05-19,980.00,999.00,957.00,964.00,883800,867906400
2017-05-18,902.00,950.00,882.00,947.00,921600,851490500
2017-05-17,889.00,905.00,878.00,904.00,512400,458783200
2017-05-16,915.00,915.00,865.00,865.00,580600,515240400
2017-05-15,890.00,900.00,883.00,890.00,323300,288825000
2017-05-12,876.00,890.00,870.00,881.00,150000,131904900
2017-05-11,891.00,891.00,875.00,880.00,124500,110068100
2017-05-10,880.00,892.00,871.00,889.00,215100,190708800
2017-05-09,858.00,879.00,858.00,874.00,205300,178952800
2017-05-08,850.00,855.00,848.00,853.00,135100,115052900
2017-05-02,838.00,842.00,835.00,842.00,85300,71562700
2017-05-01,816.00,839.00,808.00,833.00,124700,103179400
2017-04-28,822.00,822.00,814.00,816.00,66200,54099800
2017-04-27,822.00,823.00,814.00,819.00,59700,48817600
2017-04-26,816.00,826.00,812.00,820.00,67100,54900200
2017-04-25,803.00,814.00,802.00,811.00,95600,77132200
2017-04-24,819.00,828.00,812.00,812.00,72900,59733300
2017-04-21,829.00,831.00,820.00,822.00,55500,45820900
2017-04-20,832.00,835.00,825.00,827.00,54200,44922500
2017-04-19,800.00,827.00,800.00,827.00,107200,87250900
2017-04-18,790.00,805.00,785.00,801.00,110900,88342300
2017-04-17,778.00,790.00,777.00,781.00,110400,86177100
