日付,始値,高値,安値,終値,出来高,売買代金
2017-06-27,577.00,577.00,574.00,574.00,52300,30132500
2017-06-26,585.00,587.00,577.00,577.00,64600,37585700
2017-06-23,591.00,591.00,582.00,582.00,187200,109931200
2017-06-22,595.00,597.00,592.00,592.00,41700,24767200
2017-06-21,600.00,601.00,596.00,600.00,27900,16721500
2017-06-20,597.00,600.00,592.00,598.00,31600,18833200
2017-06-19,602.00,602.00,591.00,595.00,46600,27820300
2017-06-16,601.00,602.00,594.00,601.00,30100,18032600
2017-06-15,608.00,608.00,596.00,602.00,30600,18434000
2017-06-14,606.00,609.00,605.00,605.00,38700,23474500
2017-06-13,603.00,608.00,602.00,604.00,44000,26614400
2017-06-12,586.00,598.00,580.00,597.00,61500,36190500
2017-06-09,595.00,595.00,571.00,580.00,35800,20844100
2017-06-08,583.00,583.00,568.00,575.00,44500,25622600
2017-06-07,582.00,589.00,580.00,585.00,26900,15648600
2017-06-06,590.00,592.00,582.00,587.00,31200,18362300
2017-06-05,585.00,592.00,584.00,588.00,18600,10907200
2017-06-02,591.00,594.00,585.00,585.00,24500,14408900
2017-06-01,599.00,599.00,590.00,590.00,22400,13300000
2017-05-31,603.00,603.00,590.00,594.00,12700,7567100
2017-05-30,585.00,606.00,585.00,594.00,43300,25824000
2017-05-29,595.00,595.00,583.00,584.00,20900,12254000
2017-05-26,602.00,609.00,594.00,594.00,57400,34546200
2017-05-25,600.00,605.00,597.00,605.00,37900,22766700
2017-05-24,594.00,598.00,591.00,595.00,32700,19414700
2017-05-23,599.00,603.00,593.00,594.00,47200,28208900
2017-05-22,587.00,588.00,583.00,585.00,22300,13065900
2017-05-19,581.00,589.00,581.00,581.00,19300,11283300
2017-05-18,571.00,594.00,570.00,580.00,49800,28925400
2017-05-17,592.00,605.00,580.00,601.00,103200,61703900
2017-05-16,574.00,592.00,572.00,590.00,141400,82239100
2017-05-15,575.00,577.00,565.00,571.00,106600,60928600
2017-05-12,565.00,573.00,564.00,569.00,30500,17293200
2017-05-11,562.00,580.00,562.00,565.00,60100,34256000
2017-05-10,549.00,569.00,547.00,567.00,331400,185144500
2017-05-09,610.00,622.00,608.00,609.00,65500,40162700
2017-05-08,611.00,636.00,611.00,613.00,64800,40154400
2017-05-02,616.00,621.00,610.00,614.00,29100,17886100
2017-05-01,620.00,634.00,618.00,624.00,75200,47044700
2017-04-28,615.00,619.00,610.00,611.00,66600,40876500
2017-04-27,577.00,605.00,572.00,599.00,83800,49618700
2017-04-26,574.00,578.00,571.00,574.00,42200,24236200
2017-04-25,580.00,580.00,567.00,572.00,20800,11893700
2017-04-24,572.00,576.00,566.00,571.00,30300,17248000
2017-04-21,579.00,579.00,565.00,572.00,42000,23977800
